Column_1,Column_2,Mon Mar 02 2026 00:00:00 GMT+0530 (India Standard Time),Column_4,Column_5,Mon Mar 02 2026 00:00:00 GMT+0530 (India Standard Time),Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30
,Show,DRR (D-2),MTD Planned Spends (March),Spends Plan (March),DRR (D-2),Planned DRR,,,,,,,,,,,,,,,,,,,,,,,
Total,25500,21500,3500,2000,21500,14000,5500,0,96500,2991500,,Total,5415.420683071974,5794.072940132861,-715.1580070359992,1196.3345668693523,-4135.597990725128,1197.9365480324086,1039.8334808482705,0,8292.842221193729,,,,,,,,
D-2 Growth Spends ,3/2/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Show Name,Android,ioS,,,ioS,,,,Total,,,,,,,,,,,,,,,,,,,,
,56879.671983166496,39102.17203815556,,,39102.17203815556,,,,,,,,,,,,,,,,,,,,,,,,
,Facebook Ads,Facebook Ads,bytedanceglobal_int,snapchat_int,Facebook Ads,googleadwords_int,bytedanceglobal_int,snapchat_int,,,,,,,,,,,,,,,,,,,,,
,Meta,Meta,Tik Tok,Snapchat,Meta,UAC,Tik Tok,Snapchat,,,,,,,,,,,,,,,,,,,,,
My Vampire System,7079.994198041568,4613.373334546256,0,0,4613.373334546256,4591.740036344319,2016.5386734435767,0,26568.760361007473,,,,,,,,,,,,,,,,,,,,
First Legendary Beast Master,8765.407002096963,7148.910971970428,770.163341078324,0,7148.910971970428,7323.3388173165395,1995.11345901227,0,40527.95554502045,,,,,,,,,,,,,,,,,,,,
Shadow Slave,0,0,0,0,0,0,0,0,612.339425561386,,,,,,,,,,,,,,,,,,,,
Soul of a Warrior,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Weakest Beast Tamer,4283.112094633966,5602.117702758187,2014.6786518856766,3196.3345668693523,5602.117702758187,3282.85769437155,2528.181348392424,0,26296.879501304953,,,,,,,,,,,,,,,,,,,,
The Mech Touch,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Other Shows,1975.9091884277805,0,4.547473508864641e-13,0,0,-1.8189894035458565e-12,0,0,1975.9091884277755,,,,,,,,,,,,,,,,,,,,
Total,22104.422483200276,17364.402009274872,2784.841992964001,3196.3345668693523,17364.402009274872,15197.936548032409,6539.8334808482705,0,95981.84402132203,,,,,,,,,,,,,,,,,,,,
