Daily,Column_2,iOS Deep Dive,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20
First Legendary Beast Master,,,,,,,,,,,,,,,,,,,
Day,Cost,CPI,Listening D0,LDAU D0,Activation D0,Activation D3,Meta Spends (%),UAC Spends (%),TikTok Spends (%),,,,,,,,,,
3/2/2026,16454.7020791858,32.732188075529976,0.7260689734808985,0.5629521082057377,0.18499839598280426,0.18499839598280426,0.4341260263818351,0.4447183624295716,0.12115561118859322,,,,,,,,,,
3/1/2026,14136.7268973343,28.803009248987475,0.7457101959801781,0.5541889981054875,0.19559611697840737,0.2404202271192924,0.50506701016003,0.35303479498056484,0.14189819485940522,,,,,,,,,,
2/28/2026,17053.4763290249,31.758174499002727,0.7225606948326898,0.5326091719643022,0.18250244354021547,0.22905918934129083,0.43156609639832466,0.45211310700299484,0.11632079659868072,,,,,,,,,,
2/27/2026,15642.9852566286,30.07368256828568,0.713248529599307,0.5344557715056801,0.1653352386672248,0.2326228357992349,0.737759072461227,0.13449178184568727,0.12774914569308593,,,,,,,,,,
2/26/2026,12871.7137008899,33.33313787397906,0.735458492644656,0.5360560140050838,0.21752997669771518,0.3003985392492257,0.5030750772467096,0.34188146496307137,0.15504345779021905,,,,,,,,,,
2/25/2026,17922.7546870836,29.448717041833078,0.7541787720803129,0.5717956703354006,0.21360183087241977,0.292470199194544,0.6152425716439003,0.27283412117548983,0.11192330718060989,,,,,,,,,,
2/24/2026,18607.3028411006,31.564321354300528,0.7362117758145841,0.5394362781314234,0.2018645191749666,0.3087339705028901,0.5012565006880836,0.3910554894892142,0.1076880098227022,,,,,,,,,,
2/23/2026,22945.8580120622,38.37928422618251,0.7576886314436918,0.5619942166999569,0.20238482208540112,0.29605052486872724,0.391730784929388,0.5208180747721168,0.08745114029849507,,,,,,,,,,
2/22/2026,15869.7455852228,26.443306391014545,0.7814813810836343,0.5565347148868526,0.18662241936325596,0.2716022710375957,0.6162856791158686,0.25732853953945534,0.1263857813446761,,,,,,,,,,
2/21/2026,13367.8870593179,25.051070754071073,0.7364717223196139,0.5472003636573213,0.19489328020671715,0.2754741556768021,0.6481389429414723,0.20257339540405803,0.14928766165446974,,,,,,,,,,
2/20/2026,19131.8682102536,27.204774816683024,0.7436857223122499,0.5574088014271549,0.1933867270257476,0.27870440071357744,0.5265396154919623,0.36910577490535956,0.10435460960267819,,,,,,,,,,
2/19/2026,16567.3776955009,23.8749212034576,0.7508028232119888,0.5735499494018647,0.22336744260625385,0.28821605497581143,0.47760531760612934,0.4253421636680431,0.09705251872582756,,,,,,,,,,
2/18/2026,17305.3991813997,25.38066710644528,0.753849290384165,0.557320487054441,0.2170616633790981,0.29185993927324677,0.46956113951894035,0.43735564334413424,0.0930832171369256,,,,,,,,,,
2/17/2026,16250.2623023518,26.255417818910704,0.7432182922334135,0.5574137191750601,0.1890359569376291,0.27789901361771113,0.4936036812032489,0.429372486858252,0.07702383193849893,,,,,,,,,,
2/16/2026,16107.4659959072,26.40793169695532,0.7623600287099417,0.5377507299287331,0.1639483932709552,0.24100413810830415,0.5129649925895312,0.4092449316051903,0.07779007580527858,,,,,,,,,,
Weekly,,,,,,,,,,,,,,,,,,,
First Legendary Beast Master,,,,,,,,,,,,,,,,,,,
Week,Cost,CPI,Listening D7,LDAU D7,Activation D3,Activation D7,Conversion D7,ARPU D7,Recovery D7,SS D7H10,CPFW D7,D15 CPFSW,D30 CPFSW,Meta Spends (%),UAC Spends (%),TikTok Spends (%),Meta Spends ($),UAC Spends ($),TikTok Spends ($)
3/2/2026,25260.1585179038,25.418746353025654,0.7416270190427334,0.5896790137843172,0.24754443240775093,0.24754443240775093,0.0080502254441545,0.14742981622788448,0.005800042778676831,0.003018834541557938,25260.1585179038,,,0,0,0,0,0,0
2/23/2026,119266.399225248,31.99309148129345,0.7548526660751342,0.5896112864367964,0.27549171572820286,0.2859534264520587,0.03916435296622942,1.1894106696246707,0.037177109636939154,0.03353112411492245,4417.274045379555,,,0.5200896847599197,0.3649671059265164,0.11494320931356403,62029.22397550996,43528.312559515274,13708.862690222772
2/16/2026,114592.709736202,25.820198611747045,0.773303309080584,0.5984538429248342,0.2760188093309194,0.29111534829024316,0.047768153125024415,1.0556987162107379,0.040886545145723305,0.04190979472289878,3696.5390237484517,,,0.5309323389644817,0.36679199505931354,0.10227566597620459,60840.97540851966,42031.68862339435,11720.045704287964
2/9/2026,102978.804693415,26.210596021098443,0.7712082712590146,0.576751796261692,0.25528775447946916,0.26979563284968827,0.052177457296401976,1.294240193681784,0.04937851060845676,0.046577925293861275,3321.8969255940324,4119.1521877366,,0.41759394639626396,0.49742165385214204,0.08498439975159407,43003.32544709328,51223.88734231522,8751.591904006513
