date,platform,locale,campaign_type,media_source,ad_show_id_final,ad_show_title_final,ad_show_language_final,genre,sub_team,total_cost_dollars,refresh_date
2/18/2026,android,USA,Scaling,Google,a2fa57d4cb8267b2645f2b588c39951fbf65093a,My Vampire System,english,Fantasy,Growth,5478.63982184322,3/5/2026
2/6/2026,android,USA,Scaling,Google,bb2e5a5d07f1a91073fc44ee882bb2040c03aef1,The Godfather's Son,english,Drama/Romance,Growth,1982.09009764222,3/5/2026
2/26/2026,android,USA,Scaling,Tik Tok,cbc35fa13bbe154873ec97f78f2b4cf4b66c7d31,The Alpha's Bride,english,Romantasy,Growth,1107.54862689785,3/5/2026
2/16/2026,ios,USA,Scaling,Facebook,6608ee0d6404d7ded95464fc1443f2163a1ad298,Wolves of Blood Moon ,english,Romantasy,Growth,2947.34460466323,3/5/2026
2/20/2026,ios,USA,Scaling,Affiliates,Others,Others,english,,Affiliates,8.50814246026022,3/5/2026
2/6/2026,ios,USA,Scaling,Google,688d96ce7b1d3c3b46791bf30ea30c0a5e0787de,Heir in Hiding,english,Drama/Romance,Growth,2203.70443200078,3/5/2026
2/10/2026,ios,USA,Scaling,Tik Tok,cbc35fa13bbe154873ec97f78f2b4cf4b66c7d31,The Alpha's Bride,english,Romantasy,Growth,453.210335474699,3/5/2026
2/1/2026,ios,USA,Scaling,Google,688d96ce7b1d3c3b46791bf30ea30c0a5e0787de,Heir in Hiding,english,Drama/Romance,Growth,2362.20915375884,3/5/2026
2/16/2026,ios,USA,Scaling,Affiliates,Others,Others,english,,Affiliates,78.4600929411249,3/5/2026
2/27/2026,ios,USA,Scaling,Google,688d96ce7b1d3c3b46791bf30ea30c0a5e0787de,Heir in Hiding,english,Drama/Romance,Growth,336.693897953483,3/5/2026
