date,platform,locale,campaign_type,media_source,ad_show_id_final,ad_show_title_final,ad_show_language_final,genre,sub_team,total_cost_dollars,refresh_date
2/27/2026,android,USA,Scaling,Google,bb2e5a5d07f1a91073fc44ee882bb2040c03aef1,The Godfather's Son,english,Drama/Romance,Growth,2148.5473578127,3/5/2026
2/7/2026,android,USA,Scaling,Google,2a2e01dfab3207bac1d5cacfd8463ef07f52d13f,Shadow Slave,english,Fantasy,Growth,429.261186253116,3/5/2026
2/18/2026,android,USA,Scaling,Affiliates,b7fc44c5efcd7431bb98e34a29b3b10e044a57fe,The Royal Accident,english,Drama/Romance,NA,17.9005344869754,3/5/2026
2/28/2026,android,USA,Scaling,Facebook,6608ee0d6404d7ded95464fc1443f2163a1ad298,Wolves of Blood Moon ,english,Romantasy,Channel,5.49347824156699,3/5/2026
2/2/2026,android,USA,Scaling,Tik Tok,2a2e01dfab3207bac1d5cacfd8463ef07f52d13f,Shadow Slave,english,Fantasy,Growth,103.200465908325,3/5/2026
2/10/2026,android,USA,Scaling,Facebook,6608ee0d6404d7ded95464fc1443f2163a1ad298,Wolves of Blood Moon ,english,Romantasy,Growth,3798.64626016705,3/5/2026
2/20/2026,android,USA,Scaling,Affiliates,b7fc44c5efcd7431bb98e34a29b3b10e044a57fe,The Royal Accident,english,Drama/Romance,NA,8.77718499472023,3/5/2026
3/2/2026,android,USA,Scaling,Google,bb2e5a5d07f1a91073fc44ee882bb2040c03aef1,The Godfather's Son,english,Drama/Romance,Growth,3226.9312553809,3/5/2026
2/24/2026,android,USA,Testing,Facebook,Others,Others,,,UGC,11.4393306386367,3/5/2026
2/4/2026,android,USA,Scaling,Facebook,6608ee0d6404d7ded95464fc1443f2163a1ad298,Wolves of Blood Moon ,english,Romantasy,Growth,5398.27515692066,3/5/2026
2/19/2026,android,USA,Scaling,Google,cd532605283eb73524e7a93c4f887f670a980c19,The Duke's Masked Bride,english,Drama/Romance,Growth,6721.89301182791,3/5/2026
2/10/2026,android,USA,Scaling,Google,b7fc44c5efcd7431bb98e34a29b3b10e044a57fe,The Royal Accident,english,Drama/Romance,Growth,2739.55719697903,3/5/2026
2/21/2026,android,USA,Scaling,Affiliates,a2fa57d4cb8267b2645f2b588c39951fbf65093a,My Vampire System,english,Fantasy,NA,134.789215222238,3/5/2026
2/3/2026,android,USA,Testing,Facebook,Others,Others,,,Script Cracking,105.236813416674,3/5/2026
2/21/2026,ios,USA,Scaling,Tik Tok,abe921d7b916026cf57e327ac4946115baf36880,Weakest Beast Tamer,english,Fantasy,Growth,2485.28361812733,3/5/2026
2/17/2026,ios,USA,Scaling,Facebook,688d96ce7b1d3c3b46791bf30ea30c0a5e0787de,Heir in Hiding,english,Drama/Romance,Growth,1964.17770093562,3/5/2026
2/13/2026,android,USA,Scaling,Facebook,a2fa57d4cb8267b2645f2b588c39951fbf65093a,My Vampire System,english,Fantasy,Growth,4493.59397466528,3/5/2026
2/1/2026,android,USA,Scaling,Tik Tok,2a2e01dfab3207bac1d5cacfd8463ef07f52d13f,Shadow Slave,english,Fantasy,Growth,101.30602152125,3/5/2026
